# package_versions_rhel9.txt - RHEL9 variant (SLU) - generated 2026-08-27
# Image: dgilli/baseimage-selkies:rhel9-p1 (10bbd70e1502)
# REPO key: ubi9-base = vanilla UBI9 layer | rhel9 = RH-signed, installed from entitled rhel-9-for-x86_64-* repos (subscription-manager container mode)
#           epel = EPEL9 (desktop delta) | python = /lsiopy venv (selkies 348bc4f + deps)
#
NAME                                                                          VERSION                                 TYPE      REPO
dbus                                                                   1.12.20-8.el9.x86_64                     rpm      ubi9-base
systemd-pam                                                            252-67.el9_8.4.x86_64                    rpm      ubi9-base
systemd                                                                252-67.el9_8.4.x86_64                    rpm      ubi9-base
dbus-common                                                            1.12.20-8.el9.noarch                     rpm      ubi9-base
dbus-broker                                                            28-7.el9.x86_64                          rpm      ubi9-base
python3-dnf-plugins-core                                               4.3.0-26.el9.noarch                      rpm      ubi9-base
subscription-manager                                                   1.29.50-1.el9.x86_64                     rpm      ubi9-base
dnf-plugins-core                                                       4.3.0-26.el9.noarch                      rpm      ubi9-base
epel-release                                                           9-11.el9.noarch                          rpm      epel
fuse3-libs                                                             3.10.2-9.el9.x86_64                      rpm      rhel9
conmon                                                                 2.2.1-2.el9_8.x86_64                     rpm      rhel9
aardvark-dns                                                           1.17.1-1.el9_8.x86_64                    rpm      rhel9
yajl                                                                   2.1.0-25.el9.x86_64                      rpm      rhel9
crun                                                                   1.27-1.el9_8.x86_64                      rpm      rhel9
libslirp                                                               4.4.0-8.el9.x86_64                       rpm      rhel9
slirp4netns                                                            1.3.3-1.el9.x86_64                       rpm      rhel9
coreutils-common                                                       8.32-41.el9_8.x86_64                     rpm      ubi9-base
shadow-utils-subid                                                     4.9-16.el9.x86_64                        rpm      ubi9-base
kmod                                                                   28-11.el9.x86_64                         rpm      ubi9-base
libnfnetlink                                                           1.0.1-23.el9_5.x86_64                    rpm      rhel9
libnetfilter_conntrack                                                 1.0.9-1.el9.x86_64                       rpm      rhel9
iptables-libs                                                          1.8.10-11.el9_5.x86_64                   rpm      rhel9
oniguruma                                                              6.9.6-1.el9.6.x86_64                     rpm      rhel9
fuse-common                                                            3.10.2-9.el9.x86_64                      rpm      rhel9
fuse3                                                                  3.10.2-9.el9.x86_64                      rpm      rhel9
fuse-overlayfs                                                         1.16-1.el9_7.x86_64                      rpm      rhel9
containers-common                                                      5.8-1.el9.x86_64                         rpm      rhel9
libnftnl                                                               1.2.6-4.el9_4.x86_64                     rpm      rhel9
jansson                                                                2.14-1.el9.x86_64                        rpm      rhel9
nftables                                                               1.0.9-9.el9_8.x86_64                     rpm      rhel9
libretls                                                               3.8.1-1.el9.x86_64                       rpm      epel
libmd                                                                  1.2.0-1.el9.x86_64                       rpm      epel
libbsd                                                                 0.12.2-1.el9.x86_64                      rpm      epel
iptables-legacy-libs                                                   1.8.10-11.1.el9.x86_64                   rpm      epel
iptables-legacy                                                        1.8.10-11.1.el9.x86_64                   rpm      epel
netavark                                                               1.17.2-1.el9.x86_64                      rpm      rhel9
podman-catatonit                                                       4.2.0-11.el9_1.x86_64                    rpm      rhel9
podman                                                                 4.2.0-11.el9_1.x86_64                    rpm      rhel9
netcat                                                                 1.238-1.el9.x86_64                       rpm      epel
jq                                                                     1.6-19.el9_8.2.x86_64                    rpm      rhel9
coreutils                                                              8.32-41.el9_8.x86_64                     rpm      ubi9-base
curl                                                                   7.76.1-40.el9_8.5.x86_64                 rpm      ubi9-base
procps-ng                                                              3.3.17-14.el9.x86_64                     rpm      rhel9
xz                                                                     5.2.5-8.el9_0.x86_64                     rpm      ubi9-base
hostname                                                               3.23-6.el9.x86_64                        rpm      rhel9
busybox                                                                1.35.0-2.el9.x86_64                      rpm      epel
libmpc                                                                 1.2.1-4.el9.x86_64                       rpm      rhel9
elfutils-debuginfod-client                                             0.194-1.el9.x86_64                       rpm      ubi9-base
binutils-gold                                                          2.35.2-72.el9.x86_64                     rpm      rhel9
binutils                                                               2.35.2-72.el9.x86_64                     rpm      rhel9
libtirpc                                                               1.3.3-9.el9.x86_64                       rpm      rhel9
libnsl2                                                                2.0.0-1.el9.x86_64                       rpm      rhel9
cpp                                                                    11.5.0-14.el9.x86_64                     rpm      ubi9-base
